timeOpen,open,high,low,close,volume,marketCap
2022-01-01,3683.0471559386,3769.9178619767,3682.286631292,3769.6969160089,9776191466.35,448537615143.01
2022-01-02,3769.2984373234,3836.1618045063,3727.3575084832,3829.565044537,9881471547.68,455713570380.85
2022-01-03,3829.5357411468,3836.1988101982,3698.0476858299,3761.3802740698,12080777892.77,447650792403.77
2022-01-04,3761.3615691757,3876.7850857924,3723.3499617773,3794.0566786784,14030925983.17,451591466825.1
2022-01-05,3794.2691446284,3842.0597282878,3456.74539616,3550.3868815397,18061338501.56,422636379036.13
2022-01-06,3549.7091041061,3549.7091041061,3335.3766287772,3418.4082471419,24293791313.07,406971721363.93
2022-01-07,3417.8378749353,3420.4619557066,3117.3814482528,3193.2104832854,24494179209.06,380204321962.34
2022-01-08,3193.5025462263,3240.3044814174,3020.880901329,3091.9725838675,16037732700.47,368192421486.96
2022-01-09,3091.696371941,3206.7907910498,3075.9113159336,3157.7514845574,12334683863.05,376068612893.65
2022-01-10,3157.5704669721,3177.2134640747,2947.6836134591,3083.0979490511,19535744144.57,367219283311.49
2022-01-11,3082.9909615476,3247.5119863466,3061.1406931133,3238.1116493614,15211447193.44,385726806147.91
2022-01-12,3238.4499924874,3401.2199272007,3216.7179514698,3372.2583258487,16662871689.19,401752380545.64
2022-01-13,3372.1049527216,3396.9697117423,3247.9174277195,3248.288475802,15294466274.57,387027270411.94
2022-01-14,3248.6488013336,3330.7661873162,3203.8237612978,3310.0014227047,13562957229.72,394425210961.65
2022-01-15,3309.8442103283,3364.5377283862,3278.6708987034,3330.5308455592,9619999077.84,396916629872.55
2022-01-16,3330.3870946805,3376.4012018429,3291.5637221564,3350.9219689819,9505934873.65,399392136112.46
2022-01-17,3350.9471774776,3355.8193301296,3157.2241662606,3212.3048970829,12344309617.28,382914238638.7
2022-01-18,3212.2876019239,3236.0161467815,3096.1234600837,3164.0252535298,13024154091.02,377202294415.78
2022-01-19,3163.850271307,3171.1583980361,3055.2123779375,3095.8258381686,13187424143.89,369113617588.73
2022-01-20,3095.2716123863,3265.336814011,3000.9081331622,3001.1200383969,10645922763.62,357862901301.66
2022-01-21,3002.9568912753,3029.0810179438,2496.8130735479,2557.9316232199,26796291873.93,305050189406.68
2022-01-22,2561.1453220273,2615.2472436038,2330.2472737849,2405.181065401,27369692035.55,286866655647.36
2022-01-23,2406.9244157032,2542.1447376583,2381.5151588993,2535.0390510606,16481489511.36,302389263380.59
2022-01-24,2535.8910021853,2537.2085161312,2172.3011525157,2440.3523259375,28220804647.89,291127719900.53
2022-01-25,2440.393460495,2498.5070133088,2359.3848477111,2455.9349620985,16179776931.53,293019902304.06
2022-01-26,2455.5790718893,2705.7840662468,2417.683206672,2468.0302778127,21229909339.59,294496473175.08
2022-01-27,2467.1884595475,2510.451687363,2328.4522668591,2423.0012634172,16126522782.62,289156264093.83
2022-01-28,2421.6469102965,2548.7785685493,2367.8337374388,2547.0919776439,14666227351.34,303999533600.72
2022-01-29,2546.5905144949,2627.6094096931,2526.9896439377,2597.0846923895,11172062661.07,310001494765.15
2022-01-30,2598.5649902952,2631.4084164079,2550.4610090659,2603.4665820569,9501221176.92,310798780839.26
